grad_steps,_timestamp,returned_episode,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,returned_won_episode,test_returned_episode_returns,test_returned_episode,loss,_step,update_steps,_runtime,returned_episode_returns,returned_episode_lengths
32544,1746457094.5118392,0.0078125,88.7578125,-0.4274751543998718,6296064.0,0.978515625,0.2532552182674408,1.9762758016586304,1.0,0.06958900392055511,4098,4099,1256.811528494,0.5444209575653076,27.02474021911621
32624,1746457097.4743707,0.0078125,88.7578125,-0.3679351210594177,6311424.0,0.978515625,0.3040364682674408,1.9762758016586304,1.0,0.08349309861660004,4108,4109,1259.773935779,0.608072817325592,27.3046875
32800,1746457103.9925754,0.0078125,88.7578125,-0.31604695320129395,6345216.0,0.978515625,0.265625,1.9762758016586304,1.0,0.10053562372922897,4130,4131,1266.292153926,0.5687430500984192,28.08984375
32888,1746457107.2679834,0.0078125,88.7578125,-0.2897091805934906,6362112.0,0.978515625,0.3131510317325592,1.9762758016586304,1.0,0.06042816862463951,4141,4142,1269.567697894,0.6263020038604736,27.76432228088379
32936,1746457109.050539,0.0078125,88.7578125,-0.22597841918468475,6371328.0,0.978515625,0.2825520932674408,1.9762758016586304,1.0,0.07419715821743011,4147,4148,1271.35017633,0.5860068798065186,27.65755271911621
32968,1746457110.2462826,0.0078125,88.7578125,-0.20253649353981018,6377472.0,0.978515625,0.2825520932674408,1.9762758016586304,1.0,0.06231198087334633,4151,4152,1272.545838063,0.5821718573570251,27.14192771911621
33152,1746457117.0796866,0.0078125,88.7578125,-0.28103938698768616,6412800.0,0.978515625,0.228515625,1.9762758016586304,1.0,0.06531953811645508,4174,4175,1279.379304963,0.4958958029747009,26.16145896911621
33232,1746457120.063943,0.0078125,88.7578125,-0.2897566556930542,6428160.0,0.978515625,0.251953125,1.9762758016586304,1.0,0.0705069899559021,4184,4185,1282.363666485,0.5232551693916321,25.4921875
33296,1746457122.4386702,0.0078125,88.7578125,-0.32892483472824097,6440448.0,0.978515625,0.2721354067325592,1.9762758016586304,1.0,0.0874510407447815,4192,4193,1284.738265714,0.5616978406906128,26.54817771911621
33336,1746457123.9259756,0.0078125,88.7578125,-0.30125701427459717,6448128.0,0.978515625,0.25,1.9762758016586304,1.0,0.10476455092430115,4197,4198,1286.225560003,0.5333167314529419,26.421875
33544,1746457131.6550705,0.0078125,88.7578125,-0.23951366543769836,6488064.0,0.978515625,0.2584635317325592,1.9762758016586304,1.0,0.06907592713832855,4223,4224,1293.954620362,0.5343540906906128,25.80208396911621
33704,1746457137.645847,0.0078125,91.736328125,-0.20743246376514435,6518784.0,0.97265625,0.20703125,1.9708356857299805,1.0,0.07999812811613083,4243,4244,1299.945498643,0.4867386221885681,26.41927146911621
33728,1746457138.551962,0.0078125,91.736328125,-0.20722734928131104,6523392.0,0.97265625,0.1979166716337204,1.9708356857299805,1.0,0.11329346895217896,4246,4247,1300.851671008,0.47184890508651733,26.01822853088379
33776,1746457140.3358343,0.0078125,91.736328125,-0.19568651914596558,6532608.0,0.97265625,0.2623697817325592,1.9708356857299805,1.0,0.07050982862710953,4252,4253,1302.635395939,0.5483906269073486,26.44921875
33832,1746457142.4048126,0.0078125,91.736328125,-0.21594609320163727,6543360.0,0.97265625,0.2981770932674408,1.9708356857299805,1.0,0.07608571648597717,4259,4260,1304.704377931,0.596354067325592,27.04036521911621
34000,1746457148.6391673,0.0078125,91.736328125,-0.2343326210975647,6575616.0,0.97265625,0.1751302033662796,1.9708356857299805,1.0,0.12280825525522232,4280,4281,1310.938795147,0.4391692280769348,25.88541603088379
34152,1746457154.2797263,0.0078125,91.736328125,-0.22495757043361664,6604800.0,0.97265625,0.2578125,1.9708356857299805,1.0,0.08683627098798752,4299,4300,1316.579356011,0.5507707595825195,26.68229103088379
34432,1746457164.6781554,0.0078125,91.736328125,-0.313071072101593,6658560.0,0.97265625,0.2760416567325592,1.9708356857299805,1.0,0.0948871299624443,4334,4335,1326.97774706,0.5762994289398193,27.453125
