grad_steps,returned_episode,_timestamp,returned_episode_returns,test_returned_episode_returns,returned_won_episode,qvals,test_returned_episode,env_step,_runtime,test_returned_won_episode,loss,update_steps,_step,test_returned_episode_lengths,returned_episode_lengths
26640,0.0533854179084301,1746177109.1969547,0.5374132990837097,0.7136133313179016,0.0,-0.4046759605407715,1.0,5162496.0,1138.07974388,0.03448275849223137,0.30560535192489624,3361,3360,18.303449630737305,15.248699188232422
26728,0.0546875037252903,1746177112.7914557,0.5641928911209106,0.7136133313179016,0.0,-0.4103499948978424,1.0,5179392.0,1141.674381982,0.03448275849223137,0.24626433849334717,3372,3371,18.303449630737305,15.147787094116211
26800,0.0540364608168602,1746177115.7325346,0.576410710811615,0.7136133313179016,0.012369791977107525,-0.4070214629173279,1.0,5193216.0,1144.615315442,0.03448275849223137,0.2679160237312317,3381,3380,18.303449630737305,14.912110328674316
26920,0.0546875037252903,1746177120.631258,0.5924046039581299,0.7136133313179016,0.0201822929084301,-0.40426376461982727,1.0,5216256.0,1149.514069559,0.03448275849223137,0.289955735206604,3396,3395,18.303449630737305,15.304688453674316
26968,0.0559895858168602,1746177122.5911598,0.5700521469116211,0.7136133313179016,0.017578125,-0.3969060182571411,1.0,5225472.0,1151.473978672,0.03448275849223137,0.31113433837890625,3402,3401,18.303449630737305,14.693360328674316
26992,0.0527343787252903,1746177123.57062,0.575217068195343,0.7136133313179016,0.0006510416860692203,-0.39839890599250793,1.0,5230080.0,1152.453435758,0.03448275849223137,0.31605857610702515,3405,3404,18.303449630737305,15.477865219116211
27032,0.0514322929084301,1746177125.2066503,0.5746962428092957,0.7136133313179016,0.010416666977107525,-0.3926434814929962,1.0,5237760.0,1154.089477877,0.03448275849223137,0.28740304708480835,3410,3409,18.303449630737305,15.429688453674316
27352,0.0540364608168602,1746177138.2678137,0.5845921039581299,0.7136133313179016,0.01106770895421505,-0.42584508657455444,1.0,5299200.0,1167.150634944,0.03448275849223137,0.41297611594200134,3450,3449,18.303449630737305,15.093099594116211
27528,0.0527343787252903,1746177145.4793742,0.5987197160720825,0.7136133313179016,0.0201822929084301,-0.44764798879623413,1.0,5332992.0,1174.362173514,0.03448275849223137,0.3412344455718994,3472,3471,18.303449630737305,15.195963859558105
27592,0.06640625,1746177148.0914369,0.5444228053092957,0.7136133313179016,0.0071614584885537624,-0.4402461647987366,1.0,5345280.0,1176.974236944,0.03448275849223137,0.3228040933609009,3480,3479,18.303449630737305,12.576172828674316
