update_steps,test_returned_episode_lengths,returned_episode_lengths,_timestamp,returned_episode_returns,_runtime,env_step,returned_episode,qvals,test_returned_episode_returns,loss,returned_won_episode,test_returned_won_episode,grad_steps,_step,test_returned_episode
4262,90.6881103515625,25.13411521911621,1746182549.370832,0.4023532271385193,1729.408269888,6546432.0,0.0078125,-0.7241825461387634,1.7124634981155396,0.20318123698234558,0.1451822966337204,0.7485380172729492,33848,4261,1.0
4272,90.6881103515625,26.33724021911621,1746182553.3394754,0.3710772693157196,1733.376902359,6561792.0,0.0078125,-0.6801381707191467,1.7124634981155396,0.20385125279426575,0.125,0.7485380172729492,33928,4271,1.0
4273,90.6881103515625,24.52734375,1746182553.7354186,0.299394816160202,1733.772838453,6563328.0,0.0078125,-0.7676694989204407,1.7124634981155396,0.2302282303571701,0.0709635466337204,0.7485380172729492,33936,4272,1.0
4280,90.6881103515625,27.787761688232422,1746182556.508375,0.4738944470882416,1736.545828815,6574080.0,0.0078125,-0.7507963180541992,1.7124634981155396,0.20779944956302643,0.1881510466337204,0.7485380172729492,33992,4279,1.0
4283,90.6881103515625,26.69921875,1746182557.6964777,0.4620785117149353,1737.733931092,6578688.0,0.0078125,-0.7245742678642273,1.7124634981155396,0.19286879897117615,0.181640625,0.7485380172729492,34016,4282,1.0
4288,90.6881103515625,27.89192771911621,1746182559.6781101,0.4766455590724945,1739.715591301,6586368.0,0.008463541977107525,-0.7780747413635254,1.7124634981155396,0.1771256923675537,0.1888020932674408,0.7485380172729492,34056,4287,1.0
4293,90.6881103515625,26.55078125,1746182561.6632373,0.41465258598327637,1741.700704061,6594048.0,0.008463541977107525,-0.7327315807342529,1.7124634981155396,0.17191055417060852,0.1627604216337204,0.7485380172729492,34096,4292,1.0
4364,90.6881103515625,27.24739646911621,1746182589.8175952,0.41976699233055115,1769.855061064,6703104.0,0.0078125,-0.7642049789428711,1.7124634981155396,0.17921897768974304,0.1575520932674408,0.7485380172729492,34664,4363,1.0
4376,90.6881103515625,26.01692771911621,1746182594.5751002,0.4328612685203552,1774.612698968,6721536.0,0.0078125,-0.8297930955886841,1.7124634981155396,0.17004504799842834,0.1640625,0.7485380172729492,34760,4375,1.0
4399,90.6881103515625,28.760417938232422,1746182603.6944766,0.4836746156215668,1783.731928249,6756864.0,0.0078125,-0.8526774048805237,1.7124634981155396,0.19720807671546936,0.1842447966337204,0.7485380172729492,34944,4398,1.0
4400,90.6881103515625,25.50520896911621,1746182604.0905836,0.42426592111587524,1784.128020228,6758400.0,0.0078125,-0.8003590703010559,1.7124634981155396,0.19897718727588654,0.1549479216337204,0.7485380172729492,34952,4399,1.0
4410,90.6881103515625,24.70833396911621,1746182608.0522625,0.3696001172065735,1788.089731158,6773760.0,0.0078125,-0.8540656566619873,1.7124634981155396,0.21797409653663635,0.1217447966337204,0.7485380172729492,35032,4409,1.0
4412,90.6881103515625,25.51692771911621,1746182608.8446877,0.42347344756126404,1788.882158927,6776832.0,0.0078125,-0.8089736104011536,1.7124634981155396,0.1651264727115631,0.1627604216337204,0.7485380172729492,35048,4411,1.0
4422,90.6881103515625,25.57421875,1746182612.810025,0.4174796938896179,1792.847511044,6792192.0,0.0078125,-0.8436906337738037,1.7124634981155396,0.16494297981262207,0.1536458432674408,0.7485380172729492,35128,4421,1.0
4463,90.6881103515625,26.93489646911621,1746182629.0575027,0.3817557692527771,1809.09495136,6855168.0,0.0078125,-0.7992573976516724,1.7124634981155396,0.1547067016363144,0.1204427108168602,0.7485380172729492,35456,4462,1.0
4478,90.6881103515625,26.43359375,1746182635.0048587,0.4882236123085022,1815.042320726,6878208.0,0.0078125,-0.7911312580108643,1.7124634981155396,0.19110941886901855,0.2083333432674408,0.7485380172729492,35576,4477,1.0
4493,90.6881103515625,24.95052146911621,1746182640.955225,0.361950159072876,1820.992671743,6901248.0,0.0078125,-0.7207562327384949,1.7124634981155396,0.16064298152923584,0.12109375,0.7485380172729492,35696,4492,1.0
4500,90.6881103515625,26.25390625,1746182643.729345,0.47148358821868896,1823.766796096,6912000.0,0.0078125,-0.7730016708374023,1.7124634981155396,0.21647027134895325,0.203125,0.7485380172729492,35752,4499,1.0
